Metrica,display.name,log2FoldChange,Degree,Eigenvector,ClosenessCentrality,BetweennessCentrality,Eccentricity,Score_Importancia
log2FC_Pos,GPR88,14.8104,NA,NA,NA,NA,NA,NA
log2FC_Pos,RGS6,14.5827,NA,NA,NA,NA,NA,NA
log2FC_Pos,SLFN12,13.7864,NA,NA,NA,NA,NA,NA
log2FC_Pos,MYOZ1,13.7223,NA,NA,NA,NA,NA,NA
log2FC_Pos,PTH2R,13.4006,NA,NA,NA,NA,NA,NA
log2FC_Pos,PLIN1,13.2226,NA,NA,NA,NA,NA,NA
log2FC_Pos,NLGN4X,13.0089,NA,NA,NA,NA,NA,NA
log2FC_Pos,LECT2,12.9236,NA,NA,NA,NA,NA,NA
log2FC_Pos,TRPM8,12.9098,NA,NA,NA,NA,NA,NA
log2FC_Pos,OLIG1,12.9076,NA,NA,NA,NA,NA,NA
log2FC_Neg,ACTL6B,-16.7196,NA,NA,NA,NA,NA,NA
log2FC_Neg,SLC17A6,-15.4432,NA,NA,NA,NA,NA,NA
log2FC_Neg,IFI16,-15.3853,NA,NA,NA,NA,NA,NA
log2FC_Neg,GUCY2C,-15.1524,NA,NA,NA,NA,NA,NA
log2FC_Neg,ITGB6,-14.8898,NA,NA,NA,NA,NA,NA
log2FC_Neg,KCNK2,-14.8295,NA,NA,NA,NA,NA,NA
log2FC_Neg,CERS3,-14.7418,NA,NA,NA,NA,NA,NA
log2FC_Neg,TMC2,-14.4493,NA,NA,NA,NA,NA,NA
log2FC_Neg,HEYL,-14.432,NA,NA,NA,NA,NA,NA
log2FC_Neg,GABRG3,-14.2788,NA,NA,NA,NA,NA,NA
Degree,IL6,NA,97,NA,NA,NA,NA,NA
Degree,IL1B,NA,67,NA,NA,NA,NA,NA
Degree,CD44,NA,61,NA,NA,NA,NA,NA
Degree,GNG2,NA,57,NA,NA,NA,NA,NA
Degree,PRKACG,NA,54,NA,NA,NA,NA,NA
Degree,EGF,NA,50,NA,NA,NA,NA,NA
Degree,CALML5,NA,49,NA,NA,NA,NA,NA
Degree,TGFB1,NA,45,NA,NA,NA,NA,NA
Degree,CXCR4,NA,41,NA,NA,NA,NA,NA
Degree,FGF2,NA,40,NA,NA,NA,NA,NA
Eigenvector,IL6,NA,NA,0.32867854833602905,NA,NA,NA,NA
Eigenvector,IL1B,NA,NA,0.22059544920921326,NA,NA,NA,NA
Eigenvector,EGF,NA,NA,0.21561846137046814,NA,NA,NA,NA
Eigenvector,FGF2,NA,NA,0.18379151821136475,NA,NA,NA,NA
Eigenvector,CD44,NA,NA,0.17383605241775513,NA,NA,NA,NA
Eigenvector,CXCR4,NA,NA,0.1702386736869812,NA,NA,NA,NA
Eigenvector,TGFB1,NA,NA,0.15787771344184875,NA,NA,NA,NA
Eigenvector,PDGFRB,NA,NA,0.15540991723537445,NA,NA,NA,NA
Eigenvector,CSF2,NA,NA,0.15229901671409607,NA,NA,NA,NA
Eigenvector,MET,NA,NA,0.14051973819732666,NA,NA,NA,NA
ClosenessCentrality,IL6,NA,NA,NA,0.2950257289879932,NA,NA,NA
ClosenessCentrality,CD44,NA,NA,NA,0.28524046434494194,NA,NA,NA
ClosenessCentrality,ESR1,NA,NA,NA,0.28212137780207763,NA,NA,NA
ClosenessCentrality,APOE,NA,NA,NA,0.2763792179967863,NA,NA,NA
ClosenessCentrality,IL1B,NA,NA,NA,0.2763422144865444,NA,NA,NA
ClosenessCentrality,POMC,NA,NA,NA,0.27370375281792864,NA,NA,NA
ClosenessCentrality,CALML5,NA,NA,NA,0.2719367588932806,NA,NA,NA
ClosenessCentrality,PRKACG,NA,NA,NA,0.27179352120094813,NA,NA,NA
ClosenessCentrality,FGF2,NA,NA,NA,0.27179352120094813,NA,NA,NA
ClosenessCentrality,EGF,NA,NA,NA,0.271436086270384,NA,NA,NA
BetweennessCentrality,IL6,NA,NA,NA,NA,0.14240795915829307,NA,NA
BetweennessCentrality,CD44,NA,NA,NA,NA,0.0975106461025587,NA,NA
BetweennessCentrality,CALML5,NA,NA,NA,NA,0.08577647347722722,NA,NA
BetweennessCentrality,PRKACG,NA,NA,NA,NA,0.08090218490887757,NA,NA
BetweennessCentrality,ESR1,NA,NA,NA,NA,0.06227884594303684,NA,NA
BetweennessCentrality,IL1B,NA,NA,NA,NA,0.055574219011772105,NA,NA
BetweennessCentrality,APOE,NA,NA,NA,NA,0.05542329603541948,NA,NA
BetweennessCentrality,GNG2,NA,NA,NA,NA,0.053695992497190835,NA,NA
BetweennessCentrality,POMC,NA,NA,NA,NA,0.04403988968041003,NA,NA
BetweennessCentrality,APOB,NA,NA,NA,NA,0.0431733705393589,NA,NA
Eccentricity,HOXD8,NA,NA,NA,NA,NA,19,NA
Eccentricity,SPAG6,NA,NA,NA,NA,NA,19,NA
Eccentricity,ALG14,NA,NA,NA,NA,NA,19,NA
Eccentricity,TACSTD2,NA,NA,NA,NA,NA,18,NA
Eccentricity,LRWD1,NA,NA,NA,NA,NA,18,NA
Eccentricity,GINS3,NA,NA,NA,NA,NA,18,NA
Eccentricity,HOXD9,NA,NA,NA,NA,NA,18,NA
Eccentricity,LYPD1,NA,NA,NA,NA,NA,18,NA
Eccentricity,DPAGT1,NA,NA,NA,NA,NA,18,NA
Eccentricity,MEIG1,NA,NA,NA,NA,NA,18,NA
Score_Importancia,IL6,NA,NA,NA,NA,NA,NA,1
Score_Importancia,CD44,NA,NA,NA,NA,NA,NA,0.7023299508884173
Score_Importancia,IL1B,NA,NA,NA,NA,NA,NA,0.6721996126086262
Score_Importancia,EGF,NA,NA,NA,NA,NA,NA,0.564040314467636
Score_Importancia,PRKACG,NA,NA,NA,NA,NA,NA,0.5264611272856872
Score_Importancia,CALML5,NA,NA,NA,NA,NA,NA,0.5237431848050236
Score_Importancia,CXCR4,NA,NA,NA,NA,NA,NA,0.5201551750922586
Score_Importancia,TGFB1,NA,NA,NA,NA,NA,NA,0.5118657865737866
Score_Importancia,FGF2,NA,NA,NA,NA,NA,NA,0.5112634171892827
Score_Importancia,GNG2,NA,NA,NA,NA,NA,NA,0.4799793425821092
